ObservationDate,sum(Confirmed),sum(Deaths),sum(Recovered),Country
2020-03,7,0,0,Chad
2020-04,73,5,33,Chad
2020-05,778,65,491,Chad
2020-06,866,74,781,Chad
2020-07,936,75,813,Chad
2020-08,1013,77,880,Chad
2020-09,1200,85,1007,Chad
2020-10,1483,98,1314,Chad
2020-11,1688,101,1525,Chad
2020-12,2113,104,1704,Chad
2021-01,3376,118,2464,Chad
2021-02,3973,140,3475,Chad
2021-03,4533,164,4140,Chad
2021-04,4817,170,4423,Chad
2021-05,4928,173,4742,Chad
2020-01,2,0,0,Russia
2020-02,2,0,2,Russia
2020-03,2337,17,121,Russia
2020-04,106498,1073,11619,Russia
2020-05,405843,4693,171883,Russia
2020-06,646929,9306,411973,Russia
2020-07,838461,13939,637217,Russia
2020-08,992402,17128,807339,Russia
2020-09,1170799,20630,954788,Russia
2020-10,1606267,27792,1208440,Russia
2020-11,2275936,39491,1763493,Russia
2020-12,3127347,56271,2527722,Russia
2021-01,3808348,72029,3264611,Russia
2021-02,4198400,84700,3769025,Russia
2021-03,4494234,97219,4118709,Russia
2021-04,4750755,108290,4377504,Russia
2021-05,4995613,118787,4616422,Russia
2020-03,65,3,1,Paraguay
2020-04,266,10,113,Paraguay
2020-05,986,11,477,Paraguay
2020-06,2221,17,1089,Paraguay
2020-07,5338,49,3548,Paraguay
2020-08,17662,326,9421,Paraguay
2020-09,40758,857,24449,Paraguay
2020-10,63185,1404,42900,Paraguay
2020-11,82424,1756,58453,Paraguay
2020-12,107932,2262,81977,Paraguay
2021-01,133227,2718,108426,Paraguay
2021-02,159474,3181,133435,Paraguay
2021-03,214667,4206,175614,Paraguay
2021-04,279077,6385,229519,Paraguay
2021-05,350613,8987,288232,Paraguay
2020-02,1,0,0,North Ireland
2020-04,6,2,1,Yemen
2020-05,323,80,14,Yemen
2020-06,1158,312,488,Yemen
2020-07,1728,493,862,Yemen
2020-08,1958,566,1131,Yemen
2020-09,2034,587,1286,Yemen
2020-10,2063,599,1366,Yemen
2020-11,2077,605,1382,Yemen
2020-12,2099,610,1394,Yemen
2021-01,2121,615,1426,Yemen
2021-02,2285,634,1435,Yemen
2021-03,4357,888,1676,Yemen
2021-04,6317,1226,2751,Yemen
2021-05,6731,1319,3399,Yemen
2020-03,175,0,40,Senegal
2020-04,933,9,334,Senegal
2020-05,3645,42,1801,Senegal
2020-06,6793,112,4431,Senegal
2020-07,10232,205,6776,Senegal
2020-08,13611,284,9439,Senegal
2020-09,14982,311,12437,Senegal
2020-10,15616,324,14853,Senegal
2020-11,16089,333,15607,Senegal
2020-12,19140,410,17254,Senegal
2021-01,26523,628,21970,Senegal
2021-02,34520,872,28894,Senegal
2021-03,38705,1051,37321,Senegal
2021-04,40344,1107,39083,Senegal
2021-05,41331,1138,39972,Senegal
2020-01,1,0,0,Sweden
2020-02,12,0,0,Sweden
2020-03,4435,180,16,Sweden
2020-04,21092,2586,1005,Sweden
2020-05,37542,4395,4971,Sweden
2020-06,110334,9895,4971,Sweden
2020-07,80423,5744,0,Sweden
2020-08,87486,5827,0,Sweden
2020-09,92863,5895,0,Sweden
2020-10,124355,5978,0,Sweden
2020-11,243129,6681,0,Sweden
2020-12,437379,8727,0,Sweden
2021-01,566957,11591,0,Sweden
2021-02,657309,12826,0,Sweden
2021-03,804886,13467,0,Sweden
2021-04,973604,14048,0,Sweden
2021-05,1068473,14451,0,Sweden
2020-01,0,0,0,Kiribati
2020-02,0,0,0,Kiribati
2020-03,0,0,0,Kiribati
2020-04,0,0,0,Kiribati
2020-05,0,0,0,Kiribati
2020-06,0,0,0,Kiribati
2020-07,0,0,0,Kiribati
2020-08,0,0,0,Kiribati
2020-09,0,0,0,Kiribati
2020-10,0,0,0,Kiribati
2020-11,0,0,0,Kiribati
2020-12,0,0,0,Kiribati
2021-01,0,0,0,Kiribati
2021-02,0,0,0,Kiribati
2021-03,0,0,0,Kiribati
2021-04,0,0,0,Kiribati
2021-05,2,0,0,Kiribati
2020-03,20,2,0,Guyana
2020-04,82,9,22,Guyana
2020-05,153,12,70,Guyana
2020-06,245,12,114,Guyana
2020-07,413,20,185,Guyana
2020-08,1306,39,718,Guyana
2020-09,2894,80,1680,Guyana
2020-10,4162,124,3228,Guyana
2020-11,5406,151,4392,Guyana
2020-12,6332,164,5820,Guyana
2021-01,7641,176,6591,Guyana
2021-02,8585,195,7972,Guyana
2021-03,10249,231,9098,Guyana
2021-04,13283,296,11208,Guyana
2021-05,16822,382,14468,Guyana
2020-01,1,0,0,Philippines
2020-02,3,1,1,Philippines
2020-03,2084,88,49,Philippines
2020-04,8488,568,1043,Philippines
2020-05,18086,957,3909,Philippines
2020-06,37514,1266,10233,Philippines
2020-07,93354,2023,65178,Philippines
2020-08,220819,3558,157562,Philippines
2020-09,311694,5504,253488,Philippines
2020-10,380729,7221,331046,Philippines
2020-11,431630,8392,398658,Philippines
2020-12,474064,9244,439796,Philippines
2021-01,525618,10749,487551,Philippines
2021-02,576352,12318,534271,Philippines
2021-03,747288,13297,603746,Philippines
2021-04,1037460,17234,946318,Philippines
2021-05,1216582,20722,1142246,Philippines
2020-03,2,0,0,Jersey
2020-03,15,0,0,Eritrea
2020-04,39,0,26,Eritrea
2020-05,39,0,39,Eritrea
2020-06,203,0,53,Eritrea
2020-07,279,0,225,Eritrea
2020-08,319,0,284,Eritrea
2020-09,375,0,341,Eritrea
2020-10,463,0,412,Eritrea
2020-11,577,0,498,Eritrea
2020-12,1320,3,643,Eritrea
2021-01,2135,7,1594,Eritrea
2021-02,2847,7,2253,Eritrea
2021-03,3285,10,3029,Eritrea
2021-04,3671,10,3492,Eritrea
2021-05,4061,14,3812,Eritrea
2020-03,15,1,0,Burma
2020-04,151,6,27,Burma
2020-05,224,6,138,Burma
2020-06,299,6,222,Burma
2020-07,353,6,296,Burma
2020-08,882,6,354,Burma
2020-09,13373,310,3755,Burma
2020-10,52706,1237,32774,Burma
2020-11,90713,1941,70156,Burma
2020-12,124630,2682,107069,Burma
2021-01,140145,3131,125072,Burma
2021-02,141896,3199,131480,Burma
2021-03,142434,3206,131800,Burma
2021-04,142817,3209,131966,Burma
2021-05,143526,3216,132297,Burma
2020-03,30,0,0,Djibouti
2020-04,1089,2,642,Djibouti
2020-05,3354,24,1504,Djibouti
2020-06,4682,54,4524,Djibouti
2020-07,5084,58,4999,Djibouti
2020-08,5387,60,5323,Djibouti
2020-09,5416,61,5344,Djibouti
2020-10,5561,61,5441,Djibouti
2020-11,5679,61,5584,Djibouti
2020-12,5831,61,5728,Djibouti
2021-01,5932,63,5845,Djibouti
2021-02,6066,63,5897,Djibouti
2021-03,8002,70,6460,Djibouti
2021-04,11100,143,10708,Djibouti
2021-05,11523,153,11354,Djibouti
2020-01,13,0,0,Singapore
2020-02,102,0,72,Singapore
2020-03,926,3,240,Singapore
2020-04,16169,15,1244,Singapore
2020-05,34884,23,21699,Singapore
2020-06,43907,26,38500,Singapore
2020-07,52205,27,46491,Singapore
2020-08,56812,27,55658,Singapore
2020-09,57765,27,57488,Singapore
2020-10,58015,28,57913,Singapore
2020-11,58218,29,58134,Singapore
2020-12,58599,29,58449,Singapore
2021-01,59536,29,59228,Singapore
2021-02,59936,29,59823,Singapore
2021-03,60381,30,60149,Singapore
2021-04,61145,30,60751,Singapore
2021-05,62003,32,61423,Singapore
2020-01,8,0,0,Malaysia
2020-02,25,0,18,Malaysia
2020-03,2766,43,537,Malaysia
2020-04,6002,102,4171,Malaysia
2020-05,7819,115,6353,Malaysia
2020-06,8639,121,8354,Malaysia
2020-07,8976,125,8644,Malaysia
2020-08,9340,127,9054,Malaysia
2020-09,11224,136,9967,Malaysia
2020-10,31548,249,21248,Malaysia
2020-11,65697,360,54759,Malaysia
2020-12,113010,471,88941,Malaysia
2021-01,214959,760,166049,Malaysia
2021-02,300752,1130,273417,Malaysia
2021-03,345500,1272,329624,Malaysia
2021-04,408713,1506,377980,Malaysia
2021-05,558534,2650,479666,Malaysia
2020-03,5,0,0,Fiji
2020-04,18,0,12,Fiji
2020-05,18,0,15,Fiji
2020-06,18,0,18,Fiji
2020-07,27,1,18,Fiji
2020-08,28,2,23,Fiji
2020-09,32,2,28,Fiji
2020-10,34,2,31,Fiji
2020-11,42,2,33,Fiji
2020-12,49,2,44,Fiji
2021-01,55,2,53,Fiji
2021-02,59,2,54,Fiji
2021-03,67,2,64,Fiji
2021-04,117,2,65,Fiji
2021-05,360,4,161,Fiji
2020-03,13531,214,243,Turkey
2020-04,120204,3174,48886,Turkey
2020-05,163942,4540,127973,Turkey
2020-06,199906,5131,173111,Turkey
2020-07,230873,5691,214535,Turkey
2020-08,270133,6370,244926,Turkey
2020-09,318663,8195,279749,Turkey
2020-10,375367,10252,323971,Turkey
2020-11,638847,13746,404727,Turkey
2020-12,2208652,20881,2100650,Turkey
2021-01,2477463,25993,2362415,Turkey
2021-02,2701588,28569,2572234,Turkey
2021-03,3317182,31537,3014226,Turkey
2021-04,4820591,40131,4323897,Turkey
2021-05,5235978,47271,5094279,Turkey
2020-04,37,3,7,Malawi
2020-05,284,4,42,Malawi
2020-06,1224,14,260,Malawi
2020-07,4078,114,1875,Malawi
2020-08,5566,175,3160,Malawi
2020-09,5773,179,4263,Malawi
2020-10,5930,184,5323,Malawi
2020-11,6028,185,5455,Malawi
2020-12,6583,189,5705,Malawi
2021-01,23963,702,8615,Malawi
2021-02,31945,1044,18874,Malawi
2021-03,33551,1117,30272,Malawi
2021-04,34078,1148,32051,Malawi
2021-05,34329,1154,32603,Malawi
2020-02,13,0,0,Iraq
2020-03,694,50,170,Iraq
2020-04,2085,93,1375,Iraq
2020-05,6439,205,3156,Iraq
2020-06,49109,1943,24760,Iraq
2020-07,124609,4741,87434,Iraq
2020-08,234934,7042,176602,Iraq
2020-09,362981,9181,292197,Iraq
2020-10,472630,10910,399655,Iraq
2020-11,552549,12258,482674,Iraq
2020-12,595291,12813,537841,Iraq
2021-01,619636,13047,592129,Iraq
2021-02,695489,13406,635931,Iraq
2021-03,850924,14323,759560,Iraq
2021-04,1065199,15465,942046,Iraq
2021-05,1193608,16334,1107101,Iraq
2020-01,5,0,0,Germany
2020-02,79,0,16,Germany
2020-03,71808,775,16100,Germany
2020-04,163009,6623,123500,Germany
2020-05,357983,16473,314661,Germany
2020-06,196256,8992,178119,Germany
2020-07,210421,9147,192987,Germany
2020-08,245061,9307,216795,Germany
2020-09,292913,9495,256861,Germany
2020-10,534914,10483,356520,Germany
2020-11,1079810,16694,749219,Germany
2020-12,1764479,33791,1350708,Germany
2021-01,2235794,57163,1940046,Germany
2021-02,2455025,70152,2259548,Germany
2021-03,2843760,76589,2539660,Germany
2021-04,3412276,83098,3008640,Germany
2021-05,3690612,88416,3480030,Germany
2020-04,1,0,0,Comoros
2020-05,106,2,26,Comoros
2020-06,303,7,200,Comoros
2020-07,378,7,330,Comoros
2020-08,423,7,399,Comoros
2020-09,479,7,464,Comoros
2020-10,545,7,498,Comoros
2020-11,611,7,586,Comoros
2020-12,823,10,705,Comoros
2021-01,2726,93,1731,Comoros
2021-02,3571,144,3314,Comoros
2021-03,3696,146,3525,Comoros
2021-04,3834,146,3674,Comoros
2021-05,3881,146,3719,Comoros
2020-01,1,0,0,Cambodia
2020-02,1,0,1,Cambodia
2020-03,109,0,23,Cambodia
2020-04,122,0,119,Cambodia
2020-05,125,0,123,Cambodia
2020-06,141,0,130,Cambodia
2020-07,239,0,164,Cambodia
2020-08,274,0,266,Cambodia
2020-09,277,0,275,Cambodia
2020-10,291,0,283,Cambodia
2020-11,326,0,304,Cambodia
2020-12,378,0,362,Cambodia
2021-01,466,0,443,Cambodia
2021-02,820,0,477,Cambodia
2021-03,2440,11,1191,Cambodia
2021-04,13402,93,5152,Cambodia
2021-05,28825,203,21315,Cambodia
2020-02,1,0,0,Afghanistan
2020-03,175,4,5,Afghanistan
2020-04,2127,64,260,Afghanistan
2020-05,15208,258,1328,Afghanistan
2020-06,31507,752,14131,Afghanistan
2020-07,36665,1284,25509,Afghanistan
2020-08,38159,1403,29089,Afghanistan
2020-09,39268,1460,32789,Afghanistan
2020-10,41425,1538,34321,Afghanistan
2020-11,46274,1795,36831,Afghanistan
2020-12,51526,2191,41727,Afghanistan
2021-01,55023,2400,47679,Afghanistan
2021-02,55714,2443,49333,Afghanistan
2021-03,56454,2484,51550,Afghanistan
2021-04,59745,2625,53206,Afghanistan
2021-05,70111,2899,57281,Afghanistan
2020-01,1,0,0,Ivory Coast
2020-03,179,1,7,Ivory Coast
2020-04,1275,14,574,Ivory Coast
2020-05,2833,33,1435,Ivory Coast
2020-06,9499,68,4273,Ivory Coast
2020-07,16047,102,11428,Ivory Coast
2020-08,18067,117,16699,Ivory Coast
2020-09,19724,120,19291,Ivory Coast
2020-10,20716,126,20365,Ivory Coast
2020-11,21331,132,20964,Ivory Coast
2020-12,22490,137,21934,Ivory Coast
2021-01,28399,154,26007,Ivory Coast
2021-02,32754,192,32624,Ivory Coast
2021-03,43889,244,40254,Ivory Coast
2021-04,46036,286,45526,Ivory Coast
2021-05,47233,303,46642,Ivory Coast
2020-03,274,5,30,Jordan
2020-04,453,8,362,Jordan
2020-05,739,9,586,Jordan
2020-06,1132,9,882,Jordan
2020-07,1223,11,1084,Jordan
2020-08,2034,15,1508,Jordan
2020-09,11825,61,4626,Jordan
2020-10,72607,829,7600,Jordan
2020-11,219430,2751,155026,Jordan
2020-12,294494,3834,270551,Jordan
2021-01,326855,4316,314581,Jordan
2021-02,391090,4701,348599,Jordan
2021-03,611577,6858,513144,Jordan
2021-04,711373,8836,682503,Jordan
2021-05,734659,9436,713902,Jordan
2020-03,18,0,13,Maldives
2020-04,468,1,17,Maldives
2020-05,1773,5,453,Maldives
2020-06,2361,9,1944,Maldives
2020-07,3793,16,2607,Maldives
2020-08,7804,28,5155,Maldives
2020-09,10291,34,9108,Maldives
2020-10,11659,38,10814,Maldives
2020-11,13011,46,11939,Maldives
2020-12,13757,48,13141,Maldives
2021-01,15841,52,14139,Maldives
2021-02,19793,62,17249,Maldives
2021-03,24079,67,21155,Maldives
2021-04,29835,73,24775,Maldives
2021-05,62906,157,38233,Maldives
2020-03,75,0,0,Rwanda
2020-04,243,0,104,Rwanda
2020-05,370,1,256,Rwanda
2020-06,1025,2,447,Rwanda
2020-07,2022,5,1106,Rwanda
2020-08,4063,16,2013,Rwanda
2020-09,4840,29,3154,Rwanda
2020-10,5137,35,4879,Rwanda
2020-11,5934,49,5516,Rwanda
2020-12,8383,92,6542,Rwanda
2021-01,15304,196,10087,Rwanda
2021-02,18850,261,17313,Rwanda
2021-03,21783,307,20182,Rwanda
2021-04,25116,335,23234,Rwanda
2021-05,26892,352,25602,Rwanda
2020-03,7,2,1,Sudan
2020-04,375,31,39,Sudan
2020-05,4800,286,1423,Sudan
2020-06,9372,572,4014,Sudan
2020-07,11579,746,6119,Sudan
2020-08,13189,823,6612,Sudan
2020-09,13646,836,6764,Sudan
2020-10,13804,837,6764,Sudan
2020-11,18045,1249,10302,Sudan
2020-12,25500,1468,13524,Sudan
2021-01,29380,1807,21410,Sudan
2021-02,30347,1880,22907,Sudan
2021-03,31833,2063,24214,Sudan
2021-04,33944,2349,26795,Sudan
2021-05,35289,2600,27949,Sudan
2020-01,5,0,0,France
2020-02,100,2,12,France
2020-03,86403,4948,11725,France
2020-04,169185,24380,50380,France
2020-05,190975,28805,68473,France
2020-06,204244,29846,76399,France
2020-07,227239,30268,82516,France
2020-08,321160,30646,86790,France
2020-09,605893,31978,98632,France
2020-10,1414364,36827,123095,France
2020-11,2276874,52819,167913,France
2020-12,2677666,64759,200142,France
2021-01,3255920,76201,230612,France
2021-02,3815639,86580,261649,France
2021-03,4705068,95798,301467,France
2021-04,5677835,104675,346480,France
2021-05,5982662,109518,390878,France
2020-02,4,0,0,Greece
2020-03,1314,49,52,Greece
2020-04,2591,140,1374,Greece
2020-05,2917,175,1374,Greece
2020-06,3409,192,1374,Greece
2020-07,4477,206,1374,Greece
2020-08,10317,266,1374,Greece
2020-09,18475,391,1347,Greece
2020-10,39251,626,23074,Greece
2020-11,105271,2406,23074,Greece
2020-12,138850,4838,93764,Greece
2021-01,156957,5796,93764,Greece
2021-02,191100,6504,93764,Greece
2021-03,263689,8093,93764,Greece
2021-04,345033,10381,93764,Greece
2021-05,400395,12024,93764,Greece
2020-03,112,1,6,Kosovo
2020-04,799,22,249,Kosovo
2020-05,1064,30,829,Kosovo
2020-06,2878,51,1577,Kosovo
2020-07,8330,227,4578,Kosovo
2020-08,13454,525,9595,Kosovo
2020-09,15620,625,13554,Kosovo
2020-10,19328,678,15429,Kosovo
2020-11,39596,1016,25001,Kosovo
2020-12,51144,1332,40989,Kosovo
2021-01,60218,1498,52439,Kosovo
2021-02,68451,1592,59440,Kosovo
2021-03,89181,1866,74186,Kosovo
2021-04,103638,2134,91211,Kosovo
2021-05,106946,2247,102303,Kosovo
2020-01,1,0,0,Sri Lanka
2020-02,1,0,1,Sri Lanka
2020-03,143,2,17,Sri Lanka
2020-04,663,7,154,Sri Lanka
2020-05,1633,10,801,Sri Lanka
2020-06,2047,11,1711,Sri Lanka
2020-07,2815,11,2391,Sri Lanka
2020-08,3049,12,2868,Sri Lanka
2020-09,3380,13,3230,Sri Lanka
2020-10,10663,20,4399,Sri Lanka
2020-11,23987,118,17560,Sri Lanka
2020-12,43299,204,35329,Sri Lanka
2021-01,64157,316,57159,Sri Lanka
2021-02,83094,464,78947,Sri Lanka
2021-03,92706,568,89251,Sri Lanka
2021-04,108146,678,95975,Sri Lanka
2021-05,180593,1363,148391,Sri Lanka
2020-03,2,0,0,MS Zaandam
2020-04,9,2,0,MS Zaandam
2020-05,9,2,0,MS Zaandam
2020-06,9,2,0,MS Zaandam
2020-07,9,2,0,MS Zaandam
2020-08,9,2,0,MS Zaandam
2020-09,9,2,0,MS Zaandam
2020-10,9,2,0,MS Zaandam
2020-11,9,2,0,MS Zaandam
2020-12,9,2,7,MS Zaandam
2021-01,9,2,7,MS Zaandam
2021-02,9,2,7,MS Zaandam
2021-03,9,2,7,MS Zaandam
2021-04,9,2,7,MS Zaandam
2021-05,9,2,7,MS Zaandam
2020-01,10,0,0,Taiwan
2020-02,39,1,9,Taiwan
2020-03,369,6,56,Taiwan
2020-04,429,6,322,Taiwan
2020-05,442,7,423,Taiwan
2020-06,447,7,437,Taiwan
2020-07,467,7,440,Taiwan
2020-08,488,7,462,Taiwan
2020-09,514,7,483,Taiwan
2020-10,555,7,515,Taiwan
2020-11,675,7,565,Taiwan
2020-12,799,7,671,Taiwan
2021-01,911,8,830,Taiwan
2021-02,955,9,919,Taiwan
2021-03,1030,10,981,Taiwan
2021-04,1128,12,1053,Taiwan
2021-05,7806,99,1133,Taiwan
2020-03,12,0,0,Dominica
2020-04,16,0,13,Dominica
2020-05,16,0,16,Dominica
2020-06,18,0,18,Dominica
2020-07,18,0,18,Dominica
2020-08,20,0,18,Dominica
2020-09,30,0,24,Dominica
2020-10,50,0,33,Dominica
2020-11,85,0,63,Dominica
2020-12,88,0,83,Dominica
2021-01,117,0,106,Dominica
2021-02,142,0,127,Dominica
2021-03,161,0,153,Dominica
2021-04,174,0,172,Dominica
2021-05,188,0,182,Dominica
2020-02,1,0,0,Algeria
2020-03,716,44,65,Algeria
2020-04,4006,450,1779,Algeria
2020-05,9394,653,5748,Algeria
2020-06,13907,912,9897,Algeria
2020-07,30394,1210,20537,Algeria
2020-08,44494,1510,31244,Algeria
2020-09,51530,1736,36174,Algeria
2020-10,57942,1964,40201,Algeria
2020-11,83199,2431,53809,Algeria
2020-12,99610,2756,67127,Algeria
2021-01,107339,2891,73344,Algeria
2021-02,113092,2983,78098,Algeria
2021-03,117192,3093,81538,Algeria
2021-04,122108,3253,85108,Algeria
2021-05,128456,3460,89419,Algeria
2020-03,34,1,10,Togo
2020-04,116,9,65,Togo
2020-05,442,13,211,Togo
2020-06,650,14,402,Togo
2020-07,941,19,641,Togo
2020-08,1400,28,1005,Togo
2020-09,1784,48,1348,Togo
2020-10,2331,57,1660,Togo
2020-11,2974,64,2478,Togo
2020-12,3633,68,3393,Togo
2021-01,5074,77,4268,Togo
2021-02,6901,84,5660,Togo
2021-03,10249,109,7815,Togo
2021-04,12967,123,11140,Togo
2021-05,13432,125,12644,Togo
2020-03,12,0,1,Equatorial Guinea
2020-04,315,1,9,Equatorial Guinea
2020-05,1306,12,200,Equatorial Guinea
2020-06,2001,32,515,Equatorial Guinea
2020-07,4821,83,2182,Equatorial Guinea
2020-08,4941,83,3884,Equatorial Guinea
2020-09,5030,83,4769,Equatorial Guinea
2020-10,5088,83,4965,Equatorial Guinea
2020-11,5153,85,5009,Equatorial Guinea
2020-12,5277,86,5136,Equatorial Guinea
2021-01,5516,86,5286,Equatorial Guinea
2021-02,6005,91,5622,Equatorial Guinea
2021-03,6914,102,6495,Equatorial Guinea
2021-04,7694,112,7279,Equatorial Guinea
2021-05,8529,118,8146,Equatorial Guinea
2020-03,363,1,7,Slovakia
2020-04,1396,23,524,Slovakia
2020-05,1521,28,1366,Slovakia
2020-06,1667,28,1464,Slovakia
2020-07,2292,29,1695,Slovakia
2020-08,3917,33,2377,Slovakia
2020-09,10141,48,4395,Slovakia
2020-10,57664,219,12617,Slovakia
2020-11,105929,839,66041,Slovakia
2020-12,179543,2138,125971,Slovakia
2021-01,249913,4642,216052,Slovakia
2021-02,308083,7189,255300,Slovakia
2021-03,361185,9719,255300,Slovakia
2021-04,382211,11684,255300,Slovakia
2021-05,389440,12333,255300,Slovakia
2020-01,7,0,0,Macau
2020-02,10,0,8,Macau
2020-03,41,0,10,Macau
2020-04,45,0,35,Macau
2020-05,45,0,45,Macau
2020-06,46,0,45,Macau
2020-07,46,0,46,Macau
2020-08,46,0,46,Macau
2020-09,46,0,46,Macau
2020-10,46,0,46,Macau
2020-11,46,0,46,Macau
2020-12,46,0,46,Macau
2021-01,47,0,46,Macau
2021-02,48,0,47,Macau
2021-03,48,0,48,Macau
2021-04,49,0,49,Macau
2021-05,51,0,49,Macau
2020-03,45,0,0,Reunion
2020-03,1054,27,240,Argentina
2020-04,4428,218,1256,Argentina
2020-05,16851,539,5336,Argentina
2020-06,64530,1307,22028,Argentina
2020-07,191302,3543,83780,Argentina
2020-08,417735,8660,301195,Argentina
2020-09,751001,16937,594645,Argentina
2020-10,1166924,31002,973939,Argentina
2020-11,1424533,38730,1257227,Argentina
2020-12,1625514,43245,1426676,Argentina
2021-01,1927239,47974,1721650,Argentina
2021-02,2107365,51965,1905021,Argentina
2021-03,2348821,55858,2102616,Argentina
2021-04,2977363,63865,2634306,Argentina
2021-05,3732263,77108,3288467,Argentina
2020-02,1,0,1,Belgium
2020-03,12775,705,1696,Belgium
2020-04,48519,7594,11576,Belgium
2020-05,58381,9467,15887,Belgium
2020-06,61427,9747,16984,Belgium
2020-07,68751,9841,17546,Belgium
2020-08,85236,9996,18422,Belgium
